FIN_COA_CD,ACCOUNT_NBR,SUB_ACCT_NBR,ACTIVE
IT,1218107,84280,Y
IT,1218107,84290,Y
IT,1218107,84300,Y
IT,1218107,84310,Y
IT,1218107,84320,Y
IT,1218107,84330,Y
IT,1218107,84350,Y
IT,1218107,84360,Y
IT,1218107,84370,Y
IT,1218107,84400,Y
IT,1218107,84420,Y
IT,1218107,84430,Y
IT,1218107,84440,Y
IT,1218107,84450,Y
IT,1218107,84460,Y
IT,1218107,84470,Y
IT,1218107,84480,Y
IT,1218107,84490,Y
IT,1218107,84500,Y
IT,1218107,84510,Y
IT,1218107,84520,Y
IT,1218107,84530,Y
IT,1218107,84540,Y
IT,1218107,84550,Y
IT,1218107,84570,Y
IT,1218107,84620,Y
IT,1218107,84640,Y
IT,1218107,84650,Y
IT,1218107,84660,Y
IT,1218107,84940,Y
IT,1218107,85310,Y
IT,1218107,85420,Y
IT,1218107,85440,Y
IT,1218107,85490,Y
IT,1218107,85510,Y
IT,1218108,82410,Y
IT,1218108,84450,Y
IT,1218108,84460,Y
IT,1218108,84470,Y
IT,1218108,84480,Y
IT,1218109,81000,Y
IT,1218109,81010,Y
IT,1218109,81020,Y
IT,1218109,81200,Y
IT,1218109,81210,Y
IT,1218109,81220,Y
IT,1218109,81230,Y
IT,1218109,82000,Y
IT,1218109,82010,Y
IT,1218109,82100,Y
IT,1218109,82200,Y
IT,1218109,82210,Y
IT,1218109,82220,Y
IT,1218109,82300,Y
IT,1218109,82400,Y
IT,1218109,82410,Y
IT,1218109,82500,Y
IT,1218109,82600,Y
IT,1218109,83020,Y
IT,1218109,83040,Y
IT,1218109,83200,Y
IT,1218109,83210,Y
IT,1218109,83220,Y
IT,1218109,83230,Y
IT,1218109,83240,Y
IT,1218109,83250,Y
IT,1218109,83260,Y
IT,1218109,83270,Y
IT,1218109,83280,Y
IT,1218109,83290,Y
IT,1218109,83300,Y
IT,1218109,83310,Y
IT,1218109,83330,Y
IT,1218109,83340,Y
IT,1218109,83350,Y
IT,1218109,83360,Y
IT,1218109,83370,Y
IT,1218109,83380,Y
IT,1218109,83400,Y
IT,1218109,83420,Y
IT,1218109,83440,Y
IT,1218109,83460,Y
IT,1218109,83470,Y
IT,1218109,84010,Y
IT,1218109,84020,Y
IT,1218109,84030,Y
IT,1218109,84040,Y
IT,1218109,84050,Y
IT,1218109,84060,Y
IT,1218109,84100,Y
IT,1218109,84110,Y
IT,1218109,84120,Y
IT,1218109,84130,Y
IT,1218109,84140,Y
IT,1218109,84150,Y
IT,1218109,84160,Y
IT,1218109,84170,Y
IT,1218109,84180,Y
IT,1218109,84190,Y
IT,1218109,84200,Y
IT,1218109,84210,Y
IT,1218109,84220,Y
IT,1218109,84230,Y
IT,1218109,84240,Y
IT,1218109,84250,Y
IT,1218109,84260,Y
IT,1218109,84270,Y
IT,1218109,84280,Y
IT,1218109,84290,Y
IT,1218109,84300,Y
IT,1218109,84310,Y
IT,1218109,84320,Y
IT,1218109,84330,Y
IT,1218109,84350,Y
IT,1218109,84360,Y
IT,1218109,84370,Y
IT,1218109,84400,Y
IT,1218109,84420,Y
IT,1218109,84430,Y
IT,1218109,84440,Y
IT,1218109,84450,Y
IT,1218109,84460,Y
IT,1218109,84470,Y
IT,1218109,84480,Y
IT,1218109,84490,Y
IT,1218109,84500,Y
IT,1218109,84510,Y
IT,1218109,84520,Y
IT,1218109,84530,Y
IT,1218109,84540,Y
IT,1218109,84550,Y
IT,1218109,84570,Y
IT,1218109,84620,Y
IT,1218109,84640,Y
IT,1218109,84650,Y
IT,1218109,84660,Y
IT,1218109,84940,Y
IT,1218109,85310,Y
IT,1218109,85420,Y
IT,1218109,85440,Y
IT,1218109,85490,Y
IT,1218109,85510,Y
IT,1218112,960,Y
IT,1218112,961,Y
IT,1218112,962,Y
IT,1218112,963,Y
IT,1218112,964,Y
IT,1218112,82600,Y
IT,1218112,83290,Y
IT,1218112,84400,Y
IT,1218122,81000,Y
IT,1218122,81010,Y
IT,1218122,81020,Y
IT,1218122,81200,Y
IT,1218122,81210,Y
IT,1218122,81220,Y
IT,1218122,81230,Y
IT,1218122,82000,Y
IT,1218122,82010,Y
IT,1218122,82100,Y
IT,1218122,82200,Y
IT,1218122,82210,Y
IT,1218122,82220,Y
IT,1218122,82300,Y
IT,1218122,82400,Y
IT,1218122,82410,Y
IT,1218122,82500,Y
IT,1218122,82600,Y
IT,1218122,83020,Y
IT,1218122,83040,Y
IT,1218122,83200,Y
IT,1218122,83210,Y
IT,1218122,83220,Y
IT,1218122,83230,Y
IT,1218122,83240,Y
IT,1218122,83250,Y
IT,1218122,83260,Y
IT,1218122,83270,Y
IT,1218122,83280,Y
IT,1218122,83290,Y
IT,1218122,83300,Y
IT,1218122,83310,Y
IT,1218122,83330,Y
IT,1218122,83340,Y
IT,1218122,83350,Y
IT,1218122,83360,Y
IT,1218122,83370,Y
IT,1218122,83380,Y
IT,1218122,83400,Y
